"sequence_number"|"sale_ndc11"|"sale_ndc11_clean"|"sale_proprietary_name"|"sale_labeler"|"start_date"|"end_date"|"sale_gtin"|"sale_last_update"|"use_ndc11"|"no_use_ndc"|"use_gtin"|"use_last_update"|"cvx_code"|"cvx_description"|"mvx_code"
"1"|"00005-0100-02"|"00005010002"|"Trumenba"|"Wyeth Pharmaceutical Division of Wyeth Holdings LLC"|"11/05/2014"|""|"00300050100027"|"11/22/2019"|"00005-0100-01"|"False"|"00300050100010"|"11/22/2019"|"162"|"meningococcal B, recombinant"|"PFR"
"2"|"00005-0100-05"|"00005010005"|"Trumenba"|"Wyeth Pharmaceutical Division of Wyeth Holdings LLC"|"11/05/2014"|""|"00300050100058"|"11/22/2019"|"00005-0100-01"|"False"|"00300050100010"|"11/22/2019"|"162"|"meningococcal B, recombinant"|"PFR"
"3"|"00005-0100-10"|"00005010010"|"Trumenba"|"Wyeth Pharmaceutical Division of Wyeth Holdings LLC"|"11/05/2014"|""|"00300050100102"|"11/22/2019"|"00005-0100-01"|"False"|"00300050100010"|"11/22/2019"|"162"|"meningococcal B, recombinant"|"PFR"
"4"|"00005-1970-50"|"00005197050"|"Prevnar"|"Wyeth Pharmaceutical Division of Wyeth Holdings Corporation, a subsidiary of Pfizer Inc."|"03/01/2000"|"12/31/2011"|""|"05/30/2018"|"00005-1970-49"|"False"|""|"05/30/2018"|"100"|"pneumococcal conjugate PCV 7"|"WAL"
"5"|"00005-1971-02"|"00005197102"|"PREVNAR 13"|"Wyeth Pharmaceutical Division of Wyeth Holdings LLC"|"03/12/2010"|""|"00300051971022"|"08/15/2019"|"00005-1971-01"|"False"|"00300051971015"|"08/15/2019"|"133"|"Pneumococcal conjugate PCV 13"|"PFR"
"6"|"00005-1971-04"|"00005197104"|"PREVNAR 13"|"Wyeth Pharmaceutical Division of Wyeth Holdings LLC, a subsidiary of Pfizer Inc."|"03/12/2010"|""|""|"01/27/2014"|"00005-1971-01"|"False"|"00300051971015"|"08/15/2019"|"133"|"Pneumococcal conjugate PCV 13"|"PFR"
"7"|"00005-1971-05"|"00005197105"|"PREVNAR 13"|"Wyeth Pharmaceutical Division of Wyeth Holdings LLC"|"03/12/2010"|""|"00300051971053"|"08/15/2019"|"00005-1971-01"|"False"|"00300051971015"|"08/15/2019"|"133"|"Pneumococcal conjugate PCV 13"|"PFR"
"8"|"00006-4045-00"|"00006404500"|"GARDASIL"|"Merck Sharp & Dohme Corp."|"06/08/2006"|""|""|"12/07/2017"|"00006-4045-01"|"False"|"00300064045017"|"11/20/2017"|"62"|"HPV, quadrivalent"|"MSD"
"9"|"00006-4045-41"|"00006404541"|"GARDASIL"|"Merck Sharp & Dohme Corp."|"06/08/2006"|""|""|"12/07/2017"|"00006-4045-01"|"False"|"00300064045017"|"11/20/2017"|"62"|"HPV, quadrivalent"|"MSD"
"10"|"00006-4047-20"|"00006404720"|"RotaTeq"|"Merck Sharp & Dohme Corp."|"02/03/2006"|""|"00300064047202"|"12/07/2017"|"00006-4047-02"|"False"|""|"12/03/2020"|"116"|"rotavirus, pentavalent"|"MSD"
